19:29:03.821 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
19:29:05.384 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8effceec-87ed-4350-818a-51ab4551f3d5_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:29:08.465 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8effceec-87ed-4350-818a-51ab4551f3d5_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:29:10.498 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8effceec-87ed-4350-818a-51ab4551f3d5_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:29:12.539 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8effceec-87ed-4350-818a-51ab4551f3d5_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
19:29:12.539 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8effceec-87ed-4350-818a-51ab4551f3d5_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
19:29:12.540 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8effceec-87ed-4350-818a-51ab4551f3d5_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$339/1643299824
19:29:13.861 [main] INFO  c.r.a.RuoYiAuthApplication - [logStartupProfileInfo,646] - The following 1 profile is active: "dev"
19:29:15.274 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9200"]
19:29:15.275 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
19:29:15.275 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.62]
19:29:15.393 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
19:29:16.172 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
19:29:16.631 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 6316d61d-d195-40c1-b1a0-de4ed4dd35e1
19:29:16.631 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6316d61d-d195-40c1-b1a0-de4ed4dd35e1] RpcClient init label, labels = {module=naming, source=sdk}
19:29:16.633 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6316d61d-d195-40c1-b1a0-de4ed4dd35e1] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
19:29:16.633 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6316d61d-d195-40c1-b1a0-de4ed4dd35e1] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
19:29:16.634 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6316d61d-d195-40c1-b1a0-de4ed4dd35e1] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
19:29:16.634 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6316d61d-d195-40c1-b1a0-de4ed4dd35e1] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:29:16.731 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8effceec-87ed-4350-818a-51ab4551f3d5_config-0] Fail to connect server, after trying 1 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
19:29:18.680 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6316d61d-d195-40c1-b1a0-de4ed4dd35e1] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:29:18.990 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8effceec-87ed-4350-818a-51ab4551f3d5_config-0] Fail to connect server, after trying 2 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
19:29:20.719 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [6316d61d-d195-40c1-b1a0-de4ed4dd35e1] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:29:21.341 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8effceec-87ed-4350-818a-51ab4551f3d5_config-0] Fail to connect server, after trying 3 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
19:31:11.033 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
19:31:11.788 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 314cf872-25ae-4766-b8dc-70b556bd9991_config-0
19:31:11.826 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 23 ms to scan 1 urls, producing 3 keys and 6 values 
19:31:11.850 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 4 keys and 9 values 
19:31:11.862 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 3 keys and 10 values 
19:31:12.018 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 153 ms to scan 172 urls, producing 0 keys and 0 values 
19:31:12.027 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 1 keys and 5 values 
19:31:12.039 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 1 keys and 7 values 
19:31:12.051 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 2 keys and 8 values 
19:31:12.171 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 118 ms to scan 172 urls, producing 0 keys and 0 values 
19:31:12.172 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
19:31:12.172 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$329/1923634801
19:31:12.173 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$330/1730337646
19:31:12.173 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
19:31:12.173 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
19:31:12.179 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:31:15.378 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:31:17.426 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:31:19.463 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
19:31:19.464 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
19:31:19.464 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$339/2026371507
19:31:20.791 [main] INFO  c.r.a.RuoYiAuthApplication - [logStartupProfileInfo,646] - The following 1 profile is active: "dev"
19:31:22.149 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9200"]
19:31:22.149 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
19:31:22.150 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.62]
19:31:22.329 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
19:31:23.195 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
19:31:23.657 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of a042630b-f6db-4c63-a456-435e94280120
19:31:23.658 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a042630b-f6db-4c63-a456-435e94280120] RpcClient init label, labels = {module=naming, source=sdk}
19:31:23.659 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a042630b-f6db-4c63-a456-435e94280120] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
19:31:23.659 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a042630b-f6db-4c63-a456-435e94280120] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
19:31:23.660 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a042630b-f6db-4c63-a456-435e94280120] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
19:31:23.660 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a042630b-f6db-4c63-a456-435e94280120] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:31:23.666 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Fail to connect server, after trying 1 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
19:31:25.702 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a042630b-f6db-4c63-a456-435e94280120] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:31:25.919 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Fail to connect server, after trying 2 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
19:31:27.744 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a042630b-f6db-4c63-a456-435e94280120] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:31:28.266 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Fail to connect server, after trying 3 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
19:31:29.784 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a042630b-f6db-4c63-a456-435e94280120] Try to reconnect to a new server, server is  not appointed, will choose a random server.
19:31:29.784 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a042630b-f6db-4c63-a456-435e94280120] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
19:31:29.785 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a042630b-f6db-4c63-a456-435e94280120] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$339/2026371507
19:31:30.713 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Fail to connect server, after trying 4 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
19:31:30.961 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9200"]
19:31:31.945 [main] INFO  c.a.n.c.r.client - [shutdown,454] - Shutdown rpc client, set status to shutdown
19:31:31.945 [main] INFO  c.a.n.c.r.client - [shutdown,456] - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@16f34376[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
19:31:31.945 [main] INFO  c.a.n.c.r.c.g.GrpcClient - [shutdown,85] - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@4ede035e[Running, pool size = 8, active threads = 0, queued tasks = 0, completed tasks = 8]
19:31:31.947 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a042630b-f6db-4c63-a456-435e94280120] Fail to connect server, after trying 1 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
19:31:31.948 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of b10ce764-4068-4db9-a5cb-70555edd217b
19:31:31.949 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b10ce764-4068-4db9-a5cb-70555edd217b] RpcClient init label, labels = {module=naming, source=sdk}
19:31:31.949 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b10ce764-4068-4db9-a5cb-70555edd217b] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
19:31:31.949 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b10ce764-4068-4db9-a5cb-70555edd217b] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
19:31:31.949 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b10ce764-4068-4db9-a5cb-70555edd217b] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
19:31:31.949 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b10ce764-4068-4db9-a5cb-70555edd217b] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:31:32.159 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a042630b-f6db-4c63-a456-435e94280120] Client is shutdown, stop reconnect to server
19:31:33.260 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Fail to connect server, after trying 5 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
19:31:34.002 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b10ce764-4068-4db9-a5cb-70555edd217b] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:31:35.919 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Fail to connect server, after trying 6 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
19:31:36.043 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b10ce764-4068-4db9-a5cb-70555edd217b] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:31:38.088 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b10ce764-4068-4db9-a5cb-70555edd217b] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
19:31:38.088 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b10ce764-4068-4db9-a5cb-70555edd217b] Try to reconnect to a new server, server is  not appointed, will choose a random server.
19:31:38.089 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b10ce764-4068-4db9-a5cb-70555edd217b] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$339/2026371507
19:31:38.641 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Pausing ProtocolHandler ["http-nio-9200"]
19:31:38.641 [main] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
19:31:38.645 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Stopping ProtocolHandler ["http-nio-9200"]
19:31:38.649 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Destroying ProtocolHandler ["http-nio-9200"]
19:31:38.673 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [314cf872-25ae-4766-b8dc-70b556bd9991_config-0] Fail to connect server, after trying 7 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
19:46:51.612 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
19:46:52.920 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 9066608f-3e49-41d1-8da5-f1d3e28e72d1_config-0
19:46:52.995 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 46 ms to scan 1 urls, producing 3 keys and 6 values 
19:46:53.041 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 26 ms to scan 1 urls, producing 4 keys and 9 values 
19:46:53.071 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 26 ms to scan 1 urls, producing 3 keys and 10 values 
19:46:53.379 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 302 ms to scan 172 urls, producing 0 keys and 0 values 
19:46:53.398 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 17 ms to scan 1 urls, producing 1 keys and 5 values 
19:46:53.423 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 21 ms to scan 1 urls, producing 1 keys and 7 values 
19:46:53.447 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 21 ms to scan 1 urls, producing 2 keys and 8 values 
19:46:53.678 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 227 ms to scan 172 urls, producing 0 keys and 0 values 
19:46:53.679 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9066608f-3e49-41d1-8da5-f1d3e28e72d1_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
19:46:53.680 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9066608f-3e49-41d1-8da5-f1d3e28e72d1_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$329/405036720
19:46:53.680 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9066608f-3e49-41d1-8da5-f1d3e28e72d1_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$330/2088582214
19:46:53.681 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9066608f-3e49-41d1-8da5-f1d3e28e72d1_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
19:46:53.682 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9066608f-3e49-41d1-8da5-f1d3e28e72d1_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
19:46:53.689 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9066608f-3e49-41d1-8da5-f1d3e28e72d1_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:46:55.718 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9066608f-3e49-41d1-8da5-f1d3e28e72d1_config-0] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1652442415420_127.0.0.1_62903
19:46:55.719 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9066608f-3e49-41d1-8da5-f1d3e28e72d1_config-0] Notify connected event to listeners.
19:46:55.719 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9066608f-3e49-41d1-8da5-f1d3e28e72d1_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
19:46:55.720 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9066608f-3e49-41d1-8da5-f1d3e28e72d1_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$339/838800272
19:46:55.800 [main] INFO  c.r.a.RuoYiAuthApplication - [logStartupProfileInfo,646] - The following 1 profile is active: "dev"
19:46:57.452 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9200"]
19:46:57.452 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
19:46:57.453 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.62]
19:46:57.601 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
19:46:58.556 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
19:46:59.200 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of fe50d157-c068-4953-bc52-a6c7424bccda
19:46:59.201 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fe50d157-c068-4953-bc52-a6c7424bccda] RpcClient init label, labels = {module=naming, source=sdk}
19:46:59.202 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fe50d157-c068-4953-bc52-a6c7424bccda] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
19:46:59.202 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fe50d157-c068-4953-bc52-a6c7424bccda] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
19:46:59.202 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fe50d157-c068-4953-bc52-a6c7424bccda] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
19:46:59.203 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fe50d157-c068-4953-bc52-a6c7424bccda] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
19:46:59.318 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fe50d157-c068-4953-bc52-a6c7424bccda] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1652442419206_127.0.0.1_62944
19:46:59.318 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fe50d157-c068-4953-bc52-a6c7424bccda] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
19:46:59.318 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fe50d157-c068-4953-bc52-a6c7424bccda] Notify connected event to listeners.
19:46:59.318 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fe50d157-c068-4953-bc52-a6c7424bccda] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$339/838800272
19:47:00.209 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9200"]
19:47:00.235 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, DEFAULT_GROUP ruoyi-auth 192.168.0.110:9200 register finished
19:47:00.671 [main] INFO  c.r.a.RuoYiAuthApplication - [logStarted,61] - Started RuoYiAuthApplication in 10.311 seconds (JVM running for 11.326)
19:47:00.682 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth.yml, group=DEFAULT_GROUP
19:47:00.683 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth-dev.yml, group=DEFAULT_GROUP
19:47:00.684 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth, group=DEFAULT_GROUP
